dataset,comparator,metric,fold_count,fedsift_minus_comparator_mean,fedsift_minus_comparator_sd,fedsift_minus_comparator_ci95_low_t,fedsift_minus_comparator_ci95_high_t,benefit_oriented_mean,benefit_oriented_sd,benefit_oriented_ci95_low_t,benefit_oriented_ci95_high_t
pima,fedavg_nonprivate,specificity,5,0.04800000000000002,0.04919349550499537,-0.013081792314351547,0.10908179231435158,0.04800000000000002,0.04919349550499537,-0.013081792314351547,0.10908179231435158
pima,dp_fedavg,auroc,5,5.800139762404122e-05,0.007014548905891171,-0.008651711442460646,0.008767714237708729,5.800139762404122e-05,0.007014548905891171,-0.008651711442460646,0.008767714237708729
pima,dp_fedavg,average_precision,5,0.005260188071557303,0.0163562357087425,-0.015048760954123126,0.025569137097237734,0.005260188071557303,0.0163562357087425,-0.015048760954123126,0.025569137097237734
pima,dp_fedavg,balanced_accuracy,5,0.0047631027253668854,0.010062396379153803,-0.00773101259428433,0.0172572180450181,0.0047631027253668854,0.010062396379153803,-0.00773101259428433,0.0172572180450181
pima,dp_fedavg,brier_score,5,0.00147564633871346,0.004283648073925036,-0.003843205255654164,0.006794497933081084,-0.00147564633871346,0.004283648073925036,-0.006794497933081084,0.003843205255654164
pima,dp_fedavg,f1,5,0.006914013150429321,0.007949053790762925,-0.002956040761346178,0.01678406706220482,0.006914013150429321,0.007949053790762925,-0.002956040761346178,0.01678406706220482
pima,dp_fedavg,log_loss,5,0.008843374262934012,0.007412336462306999,-0.00036025706488565686,0.01804700559075368,-0.008843374262934012,0.007412336462306999,-0.01804700559075368,0.00036025706488565686
pima,dp_fedavg,mcc,5,0.014852124678167511,0.013505230741847743,-0.0019168341214195767,0.0316210834777546,0.014852124678167511,0.013505230741847743,-0.0019168341214195767,0.0316210834777546
pima,dp_fedavg,npv,5,0.023898707120254502,0.030139129729869665,-0.01352396520251747,0.06132137944302647,0.023898707120254502,0.030139129729869665,-0.01352396520251747,0.06132137944302647
pima,dp_fedavg,ppv,5,-0.0038482652339824506,0.023632899820533453,-0.03319238611429509,0.02549585564633019,-0.0038482652339824506,0.023632899820533453,-0.03319238611429509,0.02549585564633019
pima,dp_fedavg,sensitivity,5,0.03752620545073373,0.055039820555733254,-0.030814758200915872,0.10586716910238333,0.03752620545073373,0.055039820555733254,-0.030814758200915872,0.10586716910238333
pima,dp_fedavg,specificity,5,-0.02799999999999999,0.07014271166700073,-0.1150936798133021,0.05909367981330211,-0.02799999999999999,0.07014271166700073,-0.1150936798133021,0.05909367981330211
pima,dp_fedadam,auroc,5,0.0022515723270440267,0.0027367242166129444,-0.0011465196057366726,0.005649664259824726,0.0022515723270440267,0.0027367242166129444,-0.0011465196057366726,0.005649664259824726
pima,dp_fedadam,average_precision,5,0.004666585714153482,0.01330185895555484,-0.01184985366014332,0.021183025088450283,0.004666585714153482,0.01330185895555484,-0.01184985366014332,0.021183025088450283
pima,dp_fedadam,balanced_accuracy,5,0.0009217330538085156,0.01539070320927342,-0.01818834902818546,0.02003181513580249,0.0009217330538085156,0.01539070320927342,-0.01818834902818546,0.02003181513580249
pima,dp_fedadam,brier_score,5,-0.0014460589897803354,0.0014241199260572105,-0.003214337431090184,0.0003222194515295129,0.0014460589897803354,0.0014241199260572105,-0.0003222194515295129,0.003214337431090184
pima,dp_fedadam,f1,5,0.0016922101393917143,0.01273034274075825,-0.014114598126602469,0.017499018405385897,0.0016922101393917143,0.01273034274075825,-0.014114598126602469,0.017499018405385897
pima,dp_fedadam,log_loss,5,-0.0081984072884702,0.009590563834345072,-0.02010666512405155,0.003709850547111147,0.0081984072884702,0.009590563834345072,-0.003709850547111147,0.02010666512405155
pima,dp_fedadam,mcc,5,0.003679468445169809,0.022558520894052483,-0.024330634801702604,0.03168957169204222,0.003679468445169809,0.022558520894052483,-0.024330634801702604,0.03168957169204222
pima,dp_fedadam,npv,5,0.0036356714515507482,0.009339506011517434,-0.0079608569239581,0.015232199827059596,0.0036356714515507482,0.009339506011517434,-0.0079608569239581,0.015232199827059596
pima,dp_fedadam,ppv,5,0.0019549165343792476,0.022314054438367224,-0.0257516415157003,0.029661474584458794,0.0019549165343792476,0.022314054438367224,-0.0257516415157003,0.029661474584458794
pima,dp_fedadam,sensitivity,5,0.0038434661076170553,0.020573457861656912,-0.02170185583776458,0.029388788052998688,0.0038434661076170553,0.020573457861656912,-0.02170185583776458,0.029388788052998688
pima,dp_fedadam,specificity,5,-0.0019999999999999905,0.050695167422546324,-0.06494636427148819,0.06094636427148821,-0.0019999999999999905,0.050695167422546324,-0.06494636427148819,0.06094636427148821
pima,fedsift_public_argmin_rule,auroc,5,0.0013144654088050433,0.0014697422303344796,-0.0005104606052409874,0.003139391422851074,0.0013144654088050433,0.0014697422303344796,-0.0005104606052409874,0.003139391422851074
pima,fedsift_public_argmin_rule,average_precision,5,0.006403893742779054,0.0050904390442483745,8.327884648505826e-05,0.01272450863907305,0.006403893742779054,0.0050904390442483745,8.327884648505826e-05,0.01272450863907305
pima,fedsift_public_argmin_rule,balanced_accuracy,5,0.0030349406009783308,0.010762076508969418,-0.010327942346123468,0.01639782354808013,0.0030349406009783308,0.010762076508969418,-0.010327942346123468,0.01639782354808013
pima,fedsift_public_argmin_rule,brier_score,5,-0.0006353202028333505,0.001292423047836031,-0.0022400753717801342,0.0009694349661134334,0.0006353202028333505,0.001292423047836031,-0.0009694349661134334,0.0022400753717801342
pima,fedsift_public_argmin_rule,f1,5,0.003485333829735371,0.009052785561673023,-0.007755184085652884,0.014725851745123626,0.003485333829735371,0.009052785561673023,-0.007755184085652884,0.014725851745123626
pima,fedsift_public_argmin_rule,log_loss,5,-0.000334246901171531,0.003775306537380657,-0.005021909110820415,0.004353415308477352,0.000334246901171531,0.003775306537380657,-0.004353415308477352,0.005021909110820415
pima,fedsift_public_argmin_rule,mcc,5,0.004611867380694213,0.011953642440758796,-0.010230540085396584,0.01945427484678501,0.004611867380694213,0.011953642440758796,-0.010230540085396584,0.01945427484678501
