dataset,method,metric,direction,fold_count,mean,sd,ci95_low_t,ci95_high_t
pima,fedsift_public_argmin_rule,average_precision,higher,5,0.7122501358839393,0.05940826643562068,0.6384850302551318,0.7860152415127467
pima,fedsift_public_argmin_rule,balanced_accuracy,higher,5,0.7324325646401119,0.018023456368516513,0.7100534877441285,0.7548116415360953
pima,fedsift_public_argmin_rule,brier_score,lower,5,0.166647137795296,0.013999032421889573,0.14926504322734843,0.18402923236324356
pima,fedsift_public_argmin_rule,f1,higher,5,0.6639623036908948,0.01776442317769718,0.6419048589822917,0.686019748399498
pima,fedsift_public_argmin_rule,log_loss,lower,5,0.51148956326518,0.0532915905034238,0.44531931393006097,0.5776598126002991
pima,fedsift_public_argmin_rule,mcc,higher,5,0.4550344077368548,0.03622318364499842,0.41005738470453673,0.5000114307691728
pima,fedsift_public_argmin_rule,npv,higher,5,0.9190316467518616,0.03970114311432947,0.8697361666592633,0.9683271268444598
pima,fedsift_public_argmin_rule,ppv,higher,5,0.5265530895756875,0.026213676041757623,0.4940045117740604,0.5591016673773145
pima,fedsift_public_argmin_rule,sensitivity,higher,5,0.9028651292802236,0.05651473443163528,0.8326928181684152,0.9730374403920319
pima,fedsift_public_argmin_rule,specificity,higher,5,0.562,0.061806148561449774,0.48525753046361436,0.6387424695363858
pima,fedsift_uniform_schedule,auroc,higher,5,0.830408106219427,0.02378198187683988,0.8008788755170204,0.8599373369218335
pima,fedsift_uniform_schedule,average_precision,higher,5,0.712578676529648,0.06357392125087223,0.6336412272877986,0.7915161257714974
pima,fedsift_uniform_schedule,balanced_accuracy,higher,5,0.7348770090845562,0.021146021603800653,0.7086207553538779,0.7611332628152345
pima,fedsift_uniform_schedule,brier_score,lower,5,0.1672601533845056,0.014552444576549473,0.14919090686794845,0.18532939990106273
pima,fedsift_uniform_schedule,f1,higher,5,0.6657411537577104,0.02108194335971347,0.6395644636757832,0.6919178438396375
pima,fedsift_uniform_schedule,log_loss,lower,5,0.5143335651526075,0.05732041981545876,0.4431608635058266,0.5855062667993884
pima,fedsift_uniform_schedule,mcc,higher,5,0.4573854148779161,0.039891074557596155,0.40785410375008674,0.5069167260057456
pima,fedsift_uniform_schedule,npv,higher,5,0.9124556962857395,0.03798760910047801,0.8652878496878382,0.9596235428836408
pima,fedsift_uniform_schedule,ppv,higher,5,0.5330035793355314,0.02876096532451563,0.4972921241384935,0.5687150345325694
pima,fedsift_uniform_schedule,sensitivity,higher,5,0.8917540181691125,0.06210066449027845,0.8146458588070027,0.9688621775312223
pima,fedsift_uniform_schedule,specificity,higher,5,0.5780000000000001,0.06534523701081817,0.49686317174957484,0.6591368282504253
pima,fedsift_without_sift,auroc,higher,5,0.8297379454926623,0.025170827597547536,0.7984842350597937,0.860991655925531
pima,fedsift_without_sift,average_precision,higher,5,0.7153968082474564,0.06295153725167005,0.6372321508104745,0.7935614656844384
pima,fedsift_without_sift,balanced_accuracy,higher,5,0.7317638015373864,0.020652531429022486,0.7061202967901974,0.7574073062845754
pima,fedsift_without_sift,brier_score,lower,5,0.16697929184623947,0.01539381837922507,0.14786534176986824,0.1860932419226107
pima,fedsift_without_sift,f1,higher,5,0.663355874641636,0.01939709667764779,0.6392711980273229,0.6874405512559492
pima,fedsift_without_sift,log_loss,lower,5,0.5160314561258063,0.06452089300051535,0.43591818615510897,0.5961447260965036
